participant_id	age	sex	edu	nlang	ahrq_score	manipulationfactor	orthographicfactor	verbalfactor	visualfactor	ideal_l2_self	instrumentality	intl_contact	l2_interest	l2_anxiety	l2_confidence	milieu	usage_willingness	ind_mus_train_imt	ind_mus_listening_iml	mus_instr_play_imip	cognitive_and_emotional_regulation	social_connection	engaged_production	dance	physical_exercise	swt_score_cs	swt_score_us	hand_index	bsmss
sub-pp012	22.1	f	17	7	0.141304347826086	2.5	2.83333333333333	3.25	3.7	80	86.6666666666667	75	80	53.3333333333333	55	75	75	0	1	0	26	11	9	3	16	10	4	85	29.3
sub-pp013	26.9	f	17	3	0.195652173913042	3.125	2.16666666666667	4.66666666666667	4.3	92	90	85	85	66.6666666666667	70	100	100	0	15	0	37	18	9	4	16	10	6	85	66
sub-pp018	18.4	f	12	3	0.26086956521739	4.75	3.16666666666667	4.66666666666667	4.5	84	90	100	90	46.6666666666667	85	100	77.5	0	15	0	35	15	9	4	18	6	3	-65	43
sub-pp019	20.5	f	14	5	0.673913043478259	2.875	3.33333333333333	3.83333333333333	4	68	83.3333333333333	80	65	73.3333333333333	55	80	60	0	25	0	32	13	9	2	14	12	5	80	25.2
sub-pp020	29.8	m	18	4	0.260869565217391	3.375	2.66666666666667	3.25	3.9	84	90	100	80	20	95	90	97.5	0	4	0	21	15	10	2	10	8	5	100	21.5
sub-pp021	27.3	f	17	4	0.217391304347825	3.875	2	3.91666666666667	4	64	56.6666666666667	85	85	33.3333333333333	65	40	70	2	3	0	28	11	13	6	17	9	4	80	17.5
sub-pp022	24.6	f	17	4	0.391304347826088	3.125	2.33333333333333	3.5	4	96	83.3333333333333	100	95	80	65	100	85	4	8	0.09375	31	9	9	10	13	6	4	70	42
sub-pp023	24.1	m	17	5	0.358695652173913	3.5	2.5	3.16666666666667	4.2	76	83.3333333333333	95	70	66.6666666666667	55	85	50	3	15	0.1875	37	6	10	2	15	8	4	75	63.5
sub-pp024	20.8	f	13	4	0.119565217391304	3.875	3.16666666666667	3.5	3.7	84	86.6666666666667	80	85	53.3333333333333	80	95	57.5	4	8	1.5	38	9	17	6	15	7	7	85	36
sub-pp025	21.4	f	13	5	0.521739130434784	3.75	2.66666666666667	3.75	3.9	44	86.6666666666667	90	80	86.6666666666667	30	100	60	2	5	0	30	11	9	9	11	4	3	70	37
